name,team,battingStyle,bowlingStyle,playingRole,image,description
Umesh Yadav,GT,Right hand Bat,Right arm Fast,Bowler,https://documents.iplt20.com/ipl/IPLHeadshot2024/21.png ,"Less than two seasons after fast bowler Umesh Yadav first played with a leather ball, he was bowling against the likes of Rahul Dravid and VVS Laxman in the Duleep Trophy. What makes his ascent even more remarkable is that he represents unglamorous Vidarbha in the Plate League of the Ranji Trophy. Yadav is the son of a coal-mine worker and was aiming to become a policeman. He only started considering a career in cricket as a 19-year-old, an age by which the best young Indian cricketers are in the running for a national cap. "
Jonny Bairstow,PBKS,Right hand Bat,Right arm Medium,Wicketkeeper Batter,https://www.punjabkingsipl.in/static-assets/images/players/19394.png?v=6.24,
Darshan Nalkande,GT,Right hand Bat,Right arm Fast medium,Bowler,https://www.gujarattitansipl.com/static-assets/images/players/67489.png?v=5.41 ,
Sikandar Raza,PBKS,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,https://www.punjabkingsipl.in/static-assets/images/players/25422.png?v=6.18 ,"Sikandar Raza's story isn't that of your everyday international cricketer. He is not a teenage prodigy, nor is he someone who had a burning ambition to play for his country. He journeyed through from his adolescence to adulthood and stumbled upon the sport he sometimes played as a child, only to discover he is quite good at it."
Sikandar Raza,PBKS,Right hand Bat,"Right arm Offbreak, Legbreak",Batting Allrounder,https://www.punjabkingsipl.in/static-assets/images/players/25422.png?v=6.18,"Sikandar Raza's story isn't that of your everyday international cricketer. He is not a teenage prodigy, nor is he someone who had a burning ambition to play for his country. He journeyed through from his adolescence to adulthood and stumbled upon the sport he sometimes played as a child, only to discover he is quite good at it."
Vijay Shankar,GT,Right hand Bat,Right arm Medium,Allrounder,https://www.gujarattitansipl.com/static-assets/images/players/61738.png?v=5.41,
Shikhar Dhawan(c),PBKS,Left hand Bat,Right arm Offbreak,Opening Batter,https://documents.iplt20.com/ipl/IPLHeadshot2024/11.png,
Sanju Samson(c),RR,Right hand Bat,,Wicketkeeper Batter,https://ipltable.in/wp-content/uploads/2024/03/image-10.jpeg,
Tanush Kotian,RR,Right hand Bat,Right arm Offbreak,Bowling Allrounder,https://www.rajasthanroyals.com/static-assets/images/players/67907.png?v=7.06,
Kuldeep Sen,RR,Right hand Bat,Right arm Fast,Bowler,https://www.rajasthanroyals.com/static-assets/images/players/70402.png?v=7.06,"A first-class debut in late 2018, an IPL debut in 2022 and an India cap in December 2022. A fast bowler from Madhya Pradesh, Kuldeep Sen was fast-tracked through the domestic circuit and IPL into the India set-up for his ability to crank the pace above 140kmph and pick wickets regularly. His career, though has been hit by injuries."
Rovman Powell,RR,Right hand Bat,Right arm Medium fast,Middle order Batter,https://www.rajasthanroyals.com/static-assets/images/players/65291.png?v=7.03 ,"A middle-order batter who bowls occasional medium pace, Rovman Powell has been a semi-regular presence in West Indies' white-ball squads from the mid-2010s without quite nailing down a spot. "
Avesh Khan,RR,Right hand Bat,Right arm Fast medium,Bowler,https://www.rajasthanroyals.com/static-assets/images/players/64511.png?v=7.06,"A tall right-arm quick with a high arm action, Avesh Khan made his name through two Under-19 World Cups and graduated to the senior level after impressing with his variations, seam movement, and slower deliveries. "
Riyan Parag,RR,Right hand Bat,"Right arm Offbreak, Legbreak",Top order Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/189.png,
Atharva Taide,PBKS,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,https://documents.iplt20.com/ipl/IPLHeadshot2025/189.png ,
Dhruv Jurel,RR,Right hand Bat,,Wicketkeeper Batter,https://documents.iplt20.com/ipl/IPLHeadshot2025/1004.png,
